distance_m,x_m,y_m,elevation_m,segment_index
0.0,0.0000,0.0000,0.0000,0
1.0,0.0000,1.0000,0.0079,0
2.0,0.0000,2.0000,0.0157,0
3.0,0.0000,3.0000,0.0236,0
4.0,0.0000,4.0000,0.0315,0
5.0,0.0000,5.0000,0.0394,0
6.0,0.0000,6.0000,0.0472,0
7.0,0.0000,7.0000,0.0551,0
8.0,0.0000,8.0000,0.0630,0
9.0,0.0000,9.0000,0.0708,0
10.0,0.0000,10.0000,0.0787,0
11.0,0.0000,11.0000,0.0866,0
12.0,0.0000,12.0000,0.0945,0
13.0,0.0000,13.0000,0.1023,0
14.0,0.0000,14.0000,0.1102,0
15.0,0.0000,15.0000,0.1181,0
16.0,0.0000,16.0000,0.1259,0
17.0,0.0000,17.0000,0.1338,0
18.0,0.0000,18.0000,0.1417,0
19.0,0.0000,19.0000,0.1496,0
20.0,0.0000,20.0000,0.1574,0
21.0,0.0000,21.0000,0.1653,0
22.0,0.0000,22.0000,0.1732,0
23.0,0.0000,23.0000,0.1810,0
24.0,0.0000,24.0000,0.1889,0
25.0,0.0000,25.0000,0.1968,0
26.0,0.0000,26.0000,0.2046,0
27.0,0.0000,27.0000,0.2125,0
28.0,0.0000,28.0000,0.2204,0
29.0,0.0000,29.0000,0.2283,0
30.0,0.0000,30.0000,0.2361,0
31.0,0.0000,31.0000,0.2440,0
32.0,0.0000,32.0000,0.2519,0
33.0,0.0000,33.0000,0.2597,0
34.0,0.0000,34.0000,0.2676,0
35.0,0.0000,35.0000,0.2755,0
36.0,0.0000,36.0000,0.2834,0
37.0,0.0000,37.0000,0.2912,0
38.0,0.0000,38.0000,0.2991,0
39.0,0.0000,39.0000,0.3070,0
40.0,0.0000,40.0000,0.3148,0
41.0,0.0000,41.0000,0.3227,0
42.0,0.0000,42.0000,0.3306,0
43.0,0.0000,43.0000,0.3385,0
44.0,0.0000,44.0000,0.3463,0
45.0,0.0000,45.0000,0.3542,0
46.0,0.0000,46.0000,0.3621,0
47.0,0.0000,47.0000,0.3699,0
48.0,0.0000,48.0000,0.3778,0
49.0,0.0000,49.0000,0.3857,0
50.0,0.0000,50.0000,0.3936,0
51.0,0.0000,51.0000,0.4014,0
52.0,0.0000,52.0000,0.4093,0
53.0,0.0000,53.0000,0.4172,0
54.0,0.0000,54.0000,0.4250,0
55.0,0.0000,55.0000,0.4329,0
56.0,0.0000,56.0000,0.4408,0
57.0,0.0000,57.0000,0.4487,0
58.0,0.0000,58.0000,0.4565,0
59.0,0.0000,59.0000,0.4644,0
