distance_m,speed_kmh,gear,lateral_g
0.0,129.15,6,0.000
1.0,129.29,6,0.000
2.0,129.43,6,0.000
3.0,129.57,6,0.000
4.0,129.71,6,0.000
5.0,129.84,6,0.000
6.0,129.97,6,0.000
7.0,130.11,6,0.000
8.0,130.24,6,0.000
9.0,130.36,6,0.000
10.0,130.49,6,0.000
11.0,130.62,6,0.000
12.0,130.74,6,0.000
13.0,130.87,6,0.000
14.0,130.99,6,0.000
15.0,131.11,6,0.000
16.0,131.23,6,0.000
17.0,131.35,6,0.000
18.0,131.47,6,0.000
19.0,131.58,6,0.000
20.0,131.70,6,0.000
21.0,131.81,6,0.000
22.0,131.92,6,0.000
23.0,132.04,6,0.000
24.0,132.15,6,0.000
25.0,132.26,6,0.000
26.0,132.36,6,0.000
27.0,132.47,6,0.000
28.0,132.58,6,0.000
29.0,132.68,6,0.000
30.0,132.78,6,0.000
31.0,132.89,6,0.000
32.0,132.99,6,0.000
33.0,133.09,6,0.000
34.0,133.19,6,0.000
35.0,133.29,6,0.000
36.0,133.38,6,0.000
37.0,133.48,6,0.000
38.0,133.58,6,0.000
39.0,133.67,6,0.000
40.0,133.76,6,0.000
41.0,133.86,6,0.000
42.0,133.95,6,0.000
43.0,134.04,6,0.000
44.0,134.13,6,0.000
45.0,134.22,6,0.000
46.0,134.31,6,0.000
47.0,134.39,6,0.000
48.0,134.48,6,0.000
49.0,134.56,6,0.000
50.0,134.65,6,0.000
51.0,134.73,6,0.000
52.0,134.81,6,0.000
53.0,134.90,6,0.000
54.0,134.98,6,0.000
55.0,135.06,6,0.000
56.0,135.14,6,0.000
57.0,135.22,6,0.000
58.0,135.29,6,0.000
59.0,135.37,6,0.000
60.0,135.45,6,0.000
61.0,135.52,6,0.000
62.0,135.60,6,0.000
63.0,135.67,6,0.000
64.0,135.74,6,0.000
65.0,135.82,6,0.000
66.0,135.89,6,0.000
67.0,135.96,6,0.000
68.0,136.03,6,0.000
69.0,136.10,6,0.000
70.0,136.17,6,0.000
71.0,136.24,6,0.000
72.0,136.30,6,0.000
73.0,136.37,6,0.000
74.0,136.44,6,0.000
75.0,136.50,6,0.000
76.0,136.57,6,0.000
77.0,136.63,6,0.000
78.0,136.70,6,0.000
79.0,136.76,6,0.000
80.0,136.82,6,0.000
81.0,136.88,6,0.000
82.0,136.94,6,0.000
83.0,137.00,6,0.000
84.0,137.06,6,0.000
85.0,137.12,6,0.000
86.0,136.82,6,0.000
87.0,135.40,6,0.000
88.0,134.53,6,1.860
89.0,134.53,6,1.860
90.0,134.53,6,1.860
91.0,134.53,6,1.860
92.0,134.53,6,1.860
93.0,134.53,6,1.860
94.0,134.53,6,1.860
95.0,134.53,6,1.860
96.0,134.53,6,1.860
97.0,134.53,6,1.860
98.0,134.53,6,1.860
99.0,134.53,6,1.860
100.0,134.53,6,1.860
101.0,134.53,6,1.860
102.0,134.53,6,1.860
103.0,134.53,6,1.860
104.0,134.53,6,1.860
105.0,134.53,6,1.860
106.0,134.53,6,1.860
107.0,134.53,6,1.860
108.0,134.53,6,1.860
109.0,134.53,6,1.860
110.0,134.53,6,1.860
111.0,134.53,6,1.860
112.0,134.53,6,1.860
113.0,134.53,6,1.860
114.0,134.53,6,1.860
115.0,134.53,6,1.860
116.0,134.53,6,1.860
117.0,134.53,6,1.860
118.0,134.53,6,1.860
119.0,134.53,6,1.860
120.0,134.53,6,1.860
121.0,134.53,6,1.860
122.0,134.53,6,1.860
123.0,134.53,6,1.860
